2020-01-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,2023-10-31 00:00:00,2023-11-30 00:00:00,2023-12-31 00:00:00,2024-01-31 00:00:00,2024-02-29 00:00:00,2024-03-31 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-30 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-09-30 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-12-31 00:00:00,2025-01-31 00:00:00,2025-02-28 00:00:00,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,2026-02-28 00:00:00,2026-03-31 00:00:00,2026-04-30 00:00:00,2026-05-31 00:00:00,2026-06-30 00:00:00,2026-07-31 00:00:00,2026-08-31 00:00:00,2026-09-30 00:00:00,2026-10-31 00:00:00,2026-11-30 00:00:00,2026-12-31 00:00:00,2027-01-31 00:00:00,2027-02-28 00:00:00,2027-03-31 00:00:00,2027-04-30 00:00:00,2027-05-31 00:00:00,2027-06-30 00:00:00,2027-07-31 00:00:00,2027-08-31 00:00:00,2027-09-30 00:00:00,2027-10-31 00:00:00,2027-11-30 00:00:00,2027-12-31 00:00:00,Tenant Name Unit Code
84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,84406.25,28135.4166666667,FOP,43389.3567880208,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,86778.7135760417,47412.7216749036,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,94825.4433498073,51809.1611176525,103618.322235305,103618.322235305,易护宝（上海）医疗产品有限公司 101B 1
69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,69335.4,FOP,42908.790085,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,85817.58017,46887.5934632118,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,93775.1869264236,51235.3393422751,102470.67868455,102470.67868455,102470.67868455,上海仙知机器人科技有限公司 102 2
33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,33215,RFP,-4071.54633229167,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,32572.3706583333,-4449.08860904608,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,35592.7088723686,纽昂司软件技术（北京）有限公司上海分公司 101A 3
31645.6216666667,31645.6216666667,31645.6216666667,9493.68650000001,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,34919.3066666667,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,40530.1743953133,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,44288.4158764676,上海润祥实业有限公司 201 4
23643.24,23643.24,23643.24,23643.24,23643.24,23643.24,23643.24,23643.24,23643.24,-18286.5684375,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,24382.09125,-20581.6938810742,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,27442.2585080989,-23164.8777878721,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,30886.5037171628,珈蔻（上海）国际贸易有限公司 202A 5
25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,25847.475,7754.2425,-3770.46810628125,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,30163.74485025,-4120.09230237239,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,32960.7384189791,-4502.13610129447,36017.0888103558,36017.0888103558,36017.0888103558,36017.0888103558,36017.0888103558,36017.0888103558,36017.0888103558,上海鲤庭实业有限公司 202B 6
34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,34751.8325,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,37974.2656722275,20747.7527026081,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,41495.5054052161,上海赫得环境科技股份有限公司 203B 7
54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,54923.375,FOP,-8011.87867390625,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,64095.02939125,-8754.79614770156,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,70038.3691816124,-9566.60213008947,76532.8170407158,76532.8170407158,76532.8170407158,上海仙知机器人科技有限公司 203A 8
34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,34789.975,FOP,FOP,-5074.94411565625,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,40599.55292525,-5545.52845866871,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,44364.2276693497,-6059.74867605567,48477.9894084454,48477.9894084454,48477.9894084454,上海润索电子有限公司 204 9
66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,33047.1,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,66094.2,-10173.2723937858,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,81386.179150286,诺可（上海）商贸有限公司 301 10
