Property,单元号,租赁面积,本次装修期_天,本次租期_天,本次起租日,本次到期日,最后搬离日,本次合同租金,本次实际租金,实际租金,WALE,年
易护宝（上海）医疗产品有限公司,101B,768.35,81,1288,2017-10-01 00:00:00,2021-04-10 00:00:00,2021-05-31 00:00:00,3,3,65963.6051862674,0.0926916208774297,1.27671232876712
上海仙知机器人科技有限公司,102,759.84,89,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,3,3,64127.9311392405,0.0881784068783217,1.24931506849315
纽昂司软件技术（北京）有限公司上海分公司,101A,280.0,0,1096,2019-08-01 00:00:00,2022-07-31 00:00:00,2022-07-31 00:00:00,3.9,3.7896897810219,32275.5246350365,0.0917772793829231,2.58356164383562
上海润祥实业有限公司,201,358.76,59,1096,2017-04-10 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2.9,2.9,30029.0920750361,0.00905508179953365,0.273972602739726
 珈蔻（上海）国际贸易有限公司,202A,242.91,0,731,2018-10-01 00:00:00,2020-09-30 00:00:00,2020-09-30 00:00:00,3.2,3.2,23643.24,0.0195347442532943,0.750684931506849
上海鲤庭实业有限公司,202B,283.26,61,1096,2017-12-10 00:00:00,2020-12-09 00:00:00,2020-12-09 00:00:00,3,2.91514598540146,23792.187445981,0.0246798770416871,0.942465753424658
上海赫得环境科技股份有限公司,203B,346.22,0,1096,2019-05-01 00:00:00,2022-04-30 00:00:00,2022-04-30 00:00:00,3.3,3.3,34751.8325,0.0891779422076192,2.33150684931507
上海仙知机器人科技有限公司,203A,601.9,89,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,3,3,50798.3282700422,0.0698496829596518,1.24931506849315
上海润索电子有限公司,204,381.26,90,1096,2018-03-01 00:00:00,2021-02-28 00:00:00,2021-04-15 00:00:00,3,3,32149.926306914,0.0412020749838263,1.16438356164384
诺可（上海）商贸有限公司,301,679.05,61,2192,2019-07-01 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,3.2,3.17810218978102,63864.6575233023,0.386700267403204,5.5013698630137
上海境业环保能源科技有限公司,302,382.08,0,1096,2019-10-16 00:00:00,2022-10-15 00:00:00,2022-10-15 00:00:00,3.2,3.2,37189.12,0.114272114103424,2.79178082191781
赛默飞世尔科技（中国）有限公司,303,769.9,31,1096,2017-09-01 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,2.9,2.81797445255474,64175.5541814552,0.0472182220663556,0.668493150684932
上海源力生物技术有限公司,304,519.55,59,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-03-31 00:00:00,3,3,44987.1822510823,0.0618591304970037,1.24931506849315
易护宝扩租,401A,300.0,0,1460,2020-02-01 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,3.4,3.19041095890411,29112.5,0.130978044157801,4.08767123287671
易护宝扩租,401A,299.92,0,1460,2020-02-01 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,3.4,3.19041095890411,29104.7366666667,0.130943116679359,4.08767123287671
空置,401B,541.17,0,0,0,0,0,0,0,0.0,0.0,0
上海府上汽车维修服务有限公司,402,381.96,31,730,2018-01-01 00:00:00,2019-12-31 00:00:00,2019-12-31 00:00:00,3,2.87260273972603,32014.2459264126,0.0,0
上海旗霄水务有限公司,403,260.0,59,1096,2018-02-01 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,3.2,3.2,24013.9451659452,0.0287477723914283,1.08767123287671
上海豹驰新材料科技有限公司 ,405,281.48,61,730,2017-10-16 00:00:00,2019-10-15 00:00:00,2019-12-15 00:00:00,3,2.87260273972603,22697.661125158,-0.00527013826383023,-0.210958904109589
空置,406,237.97,60,1095,2020-06-01 00:00:00,2023-05-31 00:00:00,2023-05-31 00:00:00,3.3,3.20958904109589,0.0,0.0,3.41643835616438
上海源力生物技术有限公司,501,418.51,59,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-03-31 00:00:00,3,3,36238.2554978355,0.0498290149250332,1.24931506849315
上海海高咨询有限公司,502A,236.38,61,1096,2017-05-16 00:00:00,2020-05-15 00:00:00,2020-06-15 00:00:00,3.2,3.2,21794.6309881878,0.00893796407889892,0.372602739726027
上海力群建设有限公司,502B,275.46,31,1096,2017-09-01 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,3,2.91514598540146,23752.9255767524,0.0174766066131271,0.668493150684932
上海荧辉医疗器械有限公司,503,472.29,0,1096,2019-02-01 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,3.3,3.3,47406.10875,0.108927981535246,2.08767123287671
上海京格电子有限公司,504,370.85,0,1096,2019-06-01 00:00:00,2022-05-31 00:00:00,2022-05-31 00:00:00,3.03,3.03,34178.463125,0.0909015506464138,2.41643835616438
上海荧辉医疗器械有限公司,505,426.0,61,1096,2019-08-01 00:00:00,2022-07-31 00:00:00,2022-07-31 00:00:00,3.3,3.3,40505.3465859983,0.115179243471997,2.58356164383562
