Year,Rental_OFFICE,Rental_MKT,1F mkt租金,一般mkt租金,1F Growth Rate,MKT Growth Rate
2017,2.952495,3.09309,3.09309,2.952495,0.1,0.05
2018,3.10011975,3.2477445,3.2477445,3.10011975,0.0500000000000001,0.0500000000000001
2019,3.3,3.5,3.5,3.3,0.0776709805836015,0.0644750093927819
2020,3.399,3.605,3.605,3.399,0.03,0.03
2021,3.50097,3.71315,3.71315,3.50097,0.03,0.03
2022,3.6059991,3.8245445,3.8245445,3.6059991,0.03,0.03
2023,3.714179073,3.939280835,3.939280835,3.714179073,0.03,0.03
2024,3.82560444519,4.05745926005,4.05745926005,3.82560444519,0.03,0.03
2025,3.9403725785457,4.1791830378515,4.1791830378515,3.9403725785457,0.03,0.03
2026,4.05858375590207,4.30455852898705,4.30455852898705,4.05858375590207,0.03,0.03
2027,4.18034126857913,4.43369528485666,4.43369528485666,4.18034126857913,0.03,0.03
2028,4.30575150663651,4.56670614340236,4.56670614340236,4.30575150663651,0.03,0.03
2029,4.4349240518356,4.70370732770443,4.70370732770443,4.4349240518356,0.03,0.03
